epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1104.74,2.26757,3.17043,0.02146,0.66942,0.06263,0.04504,0.01638,2.40612,3.06808,0.03105,0.000574263,0.000574263,0.000574263
43,1130.21,2.25724,3.11397,0.02153,0.67609,0.04778,0.04148,0.01534,2.39044,3.16891,0.03047,0.000573025,0.000573025,0.000573025
44,1153.6,2.29569,3.11184,0.02067,0.64994,0.05231,0.04506,0.01495,2.36522,3.06611,0.02976,0.000571787,0.000571787,0.000571787
45,1176.87,2.26412,3.13704,0.0203,0.73006,0.04983,0.04561,0.01837,2.32816,3.25175,0.0294,0.00057055,0.00057055,0.00057055
46,1201.91,2.27445,3.10474,0.02082,0.50971,0.06355,0.05016,0.02088,2.30697,3.05823,0.0285,0.000569313,0.000569313,0.000569313
47,1228.22,2.26501,3.10568,0.02131,0.65805,0.0623,0.04458,0.01901,2.37157,2.98275,0.02991,0.000568075,0.000568075,0.000568075
48,1255.06,2.23885,3.0402,0.0202,0.64452,0.06458,0.05126,0.01988,2.31746,3.01025,0.02888,0.000566838,0.000566838,0.000566838
49,1281.8,2.2377,3.04756,0.02139,0.59158,0.07113,0.05723,0.0216,2.34392,2.94417,0.02971,0.0005656,0.0005656,0.0005656
50,1307.79,2.23567,3.03762,0.02018,0.66598,0.06825,0.05234,0.01812,2.31008,3.03419,0.02904,0.000564363,0.000564363,0.000564363
51,1333.33,2.24461,2.99073,0.02004,0.69377,0.05703,0.0597,0.0223,2.28537,2.99587,0.02869,0.000563125,0.000563125,0.000563125
52,1357.79,2.21796,2.98446,0.02072,0.57946,0.07814,0.05979,0.02165,2.31174,2.9669,0.02872,0.000561888,0.000561888,0.000561888
53,1380.63,2.2316,2.98809,0.01992,0.48331,0.0685,0.0554,0.02289,2.33912,2.95946,0.02918,0.00056065,0.00056065,0.00056065
54,1406.38,2.17853,2.95093,0.01962,0.57077,0.06942,0.06513,0.02321,2.32613,2.91827,0.0287,0.000559412,0.000559412,0.000559412
55,1431.41,2.23077,2.96979,0.0202,0.60499,0.06907,0.04729,0.01903,2.33685,3.12761,0.02937,0.000558175,0.000558175,0.000558175
56,1458.05,2.21937,2.93879,0.01997,0.45469,0.07877,0.06088,0.02455,2.31899,3.01472,0.02851,0.000556938,0.000556938,0.000556938
57,1484.21,2.18521,2.90064,0.01976,0.57501,0.07655,0.06575,0.02825,2.25653,3.02937,0.02815,0.0005557,0.0005557,0.0005557
58,1509.63,2.17543,2.90425,0.02026,0.6155,0.06924,0.06685,0.02775,2.2809,2.93572,0.02855,0.000554462,0.000554462,0.000554462
59,1534.12,2.2141,2.95326,0.02024,0.35986,0.07767,0.05836,0.02513,2.29792,3.00249,0.02889,0.000553225,0.000553225,0.000553225
60,1557.43,2.21902,2.90048,0.01915,0.32029,0.07976,0.06782,0.02785,2.31556,2.88389,0.0289,0.000551987,0.000551987,0.000551987
61,1582.77,2.16557,2.89463,0.0203,0.35535,0.09312,0.08275,0.03131,2.30412,2.85611,0.02844,0.00055075,0.00055075,0.00055075
62,1608.58,2.17839,2.91057,0.01906,0.31572,0.09169,0.06808,0.02803,2.3353,2.92157,0.02842,0.000549513,0.000549513,0.000549513
63,1635.22,2.18041,2.82607,0.01952,0.3211,0.0811,0.07497,0.02788,2.27603,2.8509,0.02763,0.000548275,0.000548275,0.000548275
64,1659.72,2.163,2.87457,0.01956,0.32726,0.08639,0.06143,0.02539,2.27025,3.00657,0.028,0.000547038,0.000547038,0.000547038
65,1685.07,2.16083,2.85589,0.0192,0.30092,0.10565,0.07381,0.02966,2.31891,2.84937,0.02828,0.0005458,0.0005458,0.0005458
66,1710.47,2.15695,2.81571,0.01924,0.29423,0.09913,0.07788,0.03166,2.28539,2.85433,0.02847,0.000544563,0.000544563,0.000544563
67,1733.95,2.12407,2.83679,0.01926,0.45865,0.101,0.08731,0.03419,2.3017,2.84753,0.02892,0.000543325,0.000543325,0.000543325
68,1759,2.12933,2.84348,0.01858,0.39249,0.08786,0.07766,0.03244,2.24723,2.81924,0.02739,0.000542087,0.000542087,0.000542087
69,1784.81,2.12911,2.80424,0.02004,0.33906,0.10052,0.09357,0.03767,2.26353,2.84949,0.02781,0.00054085,0.00054085,0.00054085
70,1811.14,2.14014,2.82733,0.01863,0.40474,0.11114,0.08336,0.03465,2.2976,2.87187,0.02796,0.000539613,0.000539613,0.000539613
71,1837.71,2.12684,2.79578,0.01913,0.42561,0.1121,0.08867,0.03494,2.2552,2.7932,0.02734,0.000538375,0.000538375,0.000538375
72,1863.62,2.14303,2.75902,0.01904,0.40847,0.11373,0.08368,0.03257,2.26357,2.85528,0.02779,0.000537137,0.000537137,0.000537137
73,1887.85,2.10445,2.75848,0.01841,0.31152,0.09566,0.08697,0.0359,2.27139,2.88555,0.02793,0.0005359,0.0005359,0.0005359
74,1910.78,2.11573,2.73354,0.01883,0.36224,0.11454,0.0841,0.03543,2.25063,2.86534,0.02753,0.000534663,0.000534663,0.000534663
75,1934.46,2.1018,2.6954,0.01873,0.35534,0.11857,0.09839,0.03616,2.26346,2.81034,0.02788,0.000533425,0.000533425,0.000533425
76,1960.4,2.09947,2.70778,0.0187,0.40016,0.12675,0.10454,0.03697,2.26933,2.78197,0.02801,0.000532187,0.000532187,0.000532187
77,1986.68,2.11645,2.71199,0.01877,0.38538,0.13028,0.09943,0.03679,2.30605,2.81195,0.02802,0.00053095,0.00053095,0.00053095
78,2012.84,2.09563,2.69777,0.01879,0.3468,0.11894,0.10543,0.04118,2.2695,2.81787,0.02818,0.000529712,0.000529712,0.000529712
79,2038.72,2.14041,2.69004,0.01823,0.30081,0.10883,0.07932,0.03099,2.25172,2.87563,0.02753,0.000528475,0.000528475,0.000528475
80,2064.68,2.09504,2.66381,0.0184,0.29234,0.113,0.08315,0.03091,2.23408,2.78332,0.02757,0.000527238,0.000527238,0.000527238
81,2087.99,2.0884,2.69418,0.01804,0.31485,0.11239,0.08532,0.03777,2.2139,2.82317,0.02652,0.000526,0.000526,0.000526
82,2111.13,2.12108,2.69026,0.01845,0.36821,0.13067,0.08751,0.03409,2.24862,2.93283,0.02769,0.000524762,0.000524762,0.000524762
83,2135.68,2.07754,2.65675,0.01802,0.30998,0.12832,0.09719,0.04178,2.28318,2.82886,0.0277,0.000523525,0.000523525,0.000523525
84,2161.91,2.09063,2.62894,0.01858,0.32563,0.11944,0.08851,0.03837,2.24372,2.78126,0.02748,0.000522288,0.000522288,0.000522288
85,2189.02,2.07493,2.6214,0.01816,0.30863,0.10136,0.08545,0.03232,2.23216,2.80177,0.02709,0.00052105,0.00052105,0.00052105
86,2215.63,2.0653,2.64999,0.01852,0.31933,0.12188,0.09824,0.03654,2.24198,2.76502,0.02722,0.000519812,0.000519812,0.000519812
87,2241.7,2.07828,2.65538,0.01821,0.36052,0.13617,0.10116,0.04276,2.2501,2.84252,0.02719,0.000518575,0.000518575,0.000518575
88,2268.09,2.10943,2.64007,0.01825,0.23989,0.13053,0.08393,0.03349,2.32193,3.05428,0.02885,0.000517338,0.000517338,0.000517338
89,2292.74,2.08632,2.59508,0.01792,0.34209,0.12088,0.0995,0.04109,2.25446,2.75407,0.02728,0.0005161,0.0005161,0.0005161
90,2316.54,2.09658,2.61349,0.0176,0.32071,0.12483,0.09537,0.03877,2.22465,2.77974,0.02678,0.000514862,0.000514862,0.000514862
91,2341.34,2.02234,2.53453,0.01828,0.30968,0.11801,0.10323,0.04277,2.19455,2.77239,0.02633,0.000513625,0.000513625,0.000513625
92,2365.96,2.02301,2.5918,0.01846,0.32103,0.13057,0.09841,0.04403,2.21614,2.74139,0.02694,0.000512388,0.000512388,0.000512388
93,2392.86,2.07115,2.58693,0.01793,0.32393,0.12966,0.09515,0.03939,2.21829,2.74921,0.02698,0.00051115,0.00051115,0.00051115
94,2418.85,2.05623,2.54613,0.01777,0.35693,0.13983,0.09854,0.041,2.22983,2.89183,0.02719,0.000509913,0.000509913,0.000509913
95,2444.44,2.03869,2.50143,0.01716,0.35265,0.14016,0.11654,0.04826,2.24912,2.75023,0.02731,0.000508675,0.000508675,0.000508675
96,2470.35,2.04468,2.54379,0.01758,0.36854,0.1112,0.10866,0.04745,2.24913,2.78075,0.02704,0.000507438,0.000507438,0.000507438
97,2494.94,2.01954,2.48014,0.01778,0.3446,0.14171,0.10458,0.04266,2.22714,2.71146,0.02684,0.0005062,0.0005062,0.0005062
98,2517.92,2.03114,2.51077,0.01723,0.30747,0.15287,0.10459,0.04363,2.19171,2.72446,0.02632,0.000504963,0.000504963,0.000504963
99,2544.02,2.0129,2.50422,0.01735,0.33271,0.14451,0.1055,0.04837,2.21434,2.77441,0.02677,0.000503725,0.000503725,0.000503725
100,2570.52,2.04843,2.47182,0.01693,0.3241,0.10824,0.09265,0.03865,2.23392,2.76092,0.02731,0.000502487,0.000502487,0.000502487
101,2596.07,1.99563,2.42234,0.01761,0.34907,0.13761,0.10628,0.04336,2.19297,2.78477,0.02657,0.00050125,0.00050125,0.00050125
102,2621.86,2.06074,2.47322,0.01757,0.31849,0.14383,0.09854,0.0468,2.19716,2.7487,0.02669,0.000500013,0.000500013,0.000500013
