epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2138.24,1.53153,1.63987,0.01145,0.36696,0.37113,0.32546,0.18816,1.58927,1.90148,0.01702,0.0005359,0.0005359,0.0005359
74,2168.08,1.54226,1.68497,0.01176,0.39895,0.35063,0.33944,0.1998,1.56377,1.88388,0.01645,0.000534663,0.000534663,0.000534663
75,2196.68,1.50915,1.6024,0.01147,0.4093,0.35666,0.3433,0.19701,1.57042,1.8565,0.01663,0.000533425,0.000533425,0.000533425
76,2226.56,1.52188,1.60694,0.01163,0.42427,0.3815,0.35034,0.19883,1.58333,1.87515,0.01676,0.000532187,0.000532187,0.000532187
77,2255.37,1.50144,1.6055,0.01143,0.45013,0.37987,0.35981,0.20913,1.5781,1.88112,0.01656,0.00053095,0.00053095,0.00053095
78,2284.96,1.55443,1.61584,0.01137,0.45103,0.37741,0.35612,0.20793,1.57828,1.8628,0.0166,0.000529712,0.000529712,0.000529712
79,2313.86,1.50073,1.58345,0.01113,0.4749,0.34843,0.34562,0.20127,1.56745,1.8502,0.01647,0.000528475,0.000528475,0.000528475
80,2342.94,1.52136,1.57545,0.01101,0.34642,0.36005,0.35141,0.20355,1.56268,1.86194,0.01645,0.000527238,0.000527238,0.000527238
81,2372.32,1.45119,1.51091,0.01102,0.40286,0.38529,0.34955,0.20881,1.57097,1.8609,0.01646,0.000526,0.000526,0.000526
82,2397.7,1.4886,1.56058,0.01138,0.38755,0.36336,0.34552,0.20178,1.57093,1.88743,0.01652,0.000524762,0.000524762,0.000524762
83,2427.51,1.45795,1.5336,0.01106,0.49361,0.35369,0.35261,0.20568,1.57137,1.87662,0.01651,0.000523525,0.000523525,0.000523525
84,2456.02,1.47693,1.51487,0.01117,0.52563,0.34307,0.36107,0.21091,1.56882,1.85207,0.01653,0.000522288,0.000522288,0.000522288
