epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,6443.47,1.77655,3.20298,0.02686,0.18146,0.11951,0.07904,0.0338,1.91796,3.22719,0.04279,0.000381497,0.000381497,0.000381497
45,6589.49,1.78624,3.23543,0.02748,0.2259,0.11663,0.08146,0.03544,nan,nan,nan,0.000380671,0.000380671,0.000380671
46,6735.73,1.75028,3.1982,0.02658,0.17041,0.12917,0.07893,0.03352,1.90518,3.19989,0.04249,0.000379845,0.000379845,0.000379845
47,6881.55,1.7584,3.21525,0.02704,0.18902,0.13789,0.08577,0.03763,nan,nan,nan,0.00037902,0.00037902,0.00037902
48,7027.9,1.71758,3.16672,0.02601,0.18078,0.13755,0.08834,0.03845,nan,nan,nan,0.000378194,0.000378194,0.000378194
49,7173.98,1.76716,3.10573,0.02683,0.20234,0.12693,0.09227,0.04141,1.89171,nan,0.04208,0.000377368,0.000377368,0.000377368
50,7320.22,1.70048,3.12871,0.02592,0.18544,0.14853,0.09439,0.04407,1.85209,3.12463,0.04087,0.000376543,0.000376543,0.000376543
51,7466.55,1.73948,3.10876,0.02626,0.2014,0.14659,0.09648,0.04253,1.8537,3.10164,0.04127,0.000375717,0.000375717,0.000375717
52,7612.76,1.72837,3.0761,0.02654,0.23674,0.16097,0.09811,0.04537,1.84474,3.10257,0.04077,0.000374891,0.000374891,0.000374891
53,7758.29,1.68454,3.05303,0.02565,0.21151,0.15599,0.10739,0.04765,nan,nan,nan,0.000374066,0.000374066,0.000374066
54,7904.42,1.7177,3.00918,0.02655,0.18741,0.1401,0.10072,0.04603,nan,nan,nan,0.00037324,0.00037324,0.00037324
55,8050.37,1.69479,2.97787,0.02573,0.19054,0.15657,0.10163,0.04695,nan,nan,nan,0.000372414,0.000372414,0.000372414
56,8195.89,1.69076,2.98254,0.02546,0.18678,0.16116,0.09978,0.04495,1.87103,3.05278,0.04128,0.000371589,0.000371589,0.000371589
57,8341.81,1.68461,2.96265,0.02573,0.2054,0.16432,0.10429,0.04786,nan,nan,nan,0.000370763,0.000370763,0.000370763
58,8487.87,1.69444,2.93626,0.02589,0.20802,0.15872,0.10408,0.04813,1.84961,3.05215,0.0407,0.000369937,0.000369937,0.000369937
59,8633.88,1.68637,2.86643,0.02485,0.19524,0.16701,0.10983,0.05095,nan,nan,nan,0.000369112,0.000369112,0.000369112
60,8780.07,1.67513,2.91715,0.02473,0.19252,0.1777,0.11302,0.05291,1.81648,3.01369,0.04023,0.000368286,0.000368286,0.000368286
61,8926.48,1.66612,2.88891,0.02469,0.17407,0.15399,0.09763,0.04504,1.84917,3.09443,0.04117,0.00036746,0.00036746,0.00036746
62,9072.1,1.63233,2.85544,0.02548,0.20816,0.16729,0.11289,0.05201,1.80952,3.02381,0.04007,0.000366635,0.000366635,0.000366635
63,9217.78,1.6762,2.826,0.02541,0.21295,0.1826,0.12484,0.06017,1.81711,2.96264,0.03998,0.000365809,0.000365809,0.000365809
64,9363.91,1.64644,2.85678,0.02432,0.21378,0.17662,0.11849,0.05515,nan,nan,nan,0.000364983,0.000364983,0.000364983
65,9509.76,1.63833,2.80274,0.02473,0.19809,0.17994,0.11341,0.05352,nan,nan,nan,0.000364158,0.000364158,0.000364158
66,9656.05,1.62942,2.77354,0.02493,0.18342,0.18145,0.11326,0.05355,1.80237,2.94869,0.03955,0.000363332,0.000363332,0.000363332
67,9801.8,1.63192,2.74635,0.02477,0.20293,0.1777,0.12255,0.05872,1.82588,2.92535,0.04013,0.000362506,0.000362506,0.000362506
68,9947.44,1.62029,2.73691,0.0243,0.21759,0.18922,0.13148,0.0643,nan,nan,nan,0.000361681,0.000361681,0.000361681
69,10093.5,1.59041,2.75199,0.02448,0.22029,0.186,0.12724,0.06171,nan,nan,nan,0.000360855,0.000360855,0.000360855
70,10239.8,1.61044,2.70702,0.02382,0.20733,0.18798,0.12869,0.06252,nan,nan,nan,0.000360029,0.000360029,0.000360029
71,10385.4,1.6226,2.67493,0.0246,0.19948,0.18444,0.12672,0.06147,nan,nan,nan,0.000359204,0.000359204,0.000359204
